43	43	11	21	21	48	61	15	10	145	13	38	70	52	33	11	2	42	5	17	7	2	5	33	20	21	24	18	57	49	9	93	101	42	23	60	61	20	66	93	4	56	137	95	15	13	54	21	21	45	54	29	73	0	158	58	99	107	115	23	23	52	74	79	
47	47	22	42	40	31	24	58	136	62	18	13	17	35	25	10	22	1	21	17	29	4	10	3	60	6	79	66	23	14	25	13	25	25	22	16	5	6	72	59	24	20	177	89	8	62	31	81	112	104	56	2	27	8	100	14	13	70	97	92	12	95	59	82	
40	40	34	21	43	23	38	45	130	20	20	15	20	5	9	14	16	18	5	14	22	31	18	14	69	11	74	35	21	38	70	24	49	4	41	79	22	11	20	23	47	22	38	32	30	68	28	43	84	60	9	50	43	163	75	43	45	36	50	69	49	11	46	95	
6	6	28	42	3	17	33	106	145	30	43	195	64	28	37	41	11	11	14	19	22	24	10	8	85	14	18	62	60	18	20	32	4	19	32	20	7	7	9	4	3	13	53	66	67	36	40	20	1	12	7	60	23	1	51	25	23	2	64	51	43	51	6	68	
0	0	13	16	12	49	65	48	17	4	74	91	19	14	24	13	42	10	22	18	3	4	20	87	67	36	6	48	15	30	90	85	1	31	7	29	69	22	54	23	1	8	40	51	12	64	19	14	1	14	18	16	24	13	38	75	83	21	65	50	3	20	38	74	
47	47	6	148	18	20	5	32	12	8	64	68	36	51	6	11	48	31	17	53	14	7	1	7	25	11	13	4	17	11	3	20	24	26	15	3	21	2	31	13	1	15	21	40	37	24	11	20	16	11	36	18	12	26	24	79	74	11	18	1	12	19	23	16	
23	23	18	5	27	42	6	16	2	49	61	36	52	17	8	8	20	13	9	6	42	38	67	5	34	67	58	87	58	19	60	22	20	9	21	17	18	17	47	10	22	9	69	6	103	130	13	15	27	58	18	63	10	27	45	4	53	46	77	0	65	65	13	21	
17	17	2	12	16	28	36	27	61	36	50	27	2	3	18	18	5	9	18	24	50	23	46	39	51	17	56	46	53	15	53	20	26	50	4	39	30	36	36	60	155	50	36	12	12	5	20	37	10	10	36	45	46	47	8	31	4	15	5	57	28	75	1	6	
4	4	0	5	27	11	16	13	17	24	12	0	17	14	1	6	4	0	2	1	10	38	10	20	2	15	30	28	1	4	21	7	44	104	89	101	35	52	22	31	20	3	26	18	24	17	20	148	12	6	7	38	20	4	19	1	17	12	18	14	23	14	47	21	
44	44	16	11	14	7	14	15	12	12	3	8	1	2	8	3	1	0	0	3	0	8	0	14	13	8	4	1	4	2	1	27	11	43	94	18	2	60	26	15	19	12	15	46	9	6	41	43	6	25	6	7	5	5	24	28	13	40	59	21	21	45	59	46	
51	51	44	46	22	14	17	28	16	18	22	16	16	11	12	11	3	10	9	4	8	6	4	9	8	2	7	1	9	12	3	9	15	34	8	5	19	9	7	84	102	42	61	72	59	36	40	19	25	33	1	27	5	37	9	33	11	42	23	62	34	36	22	48	
51	51	33	36	19	19	23	14	25	18	17	18	12	7	12	6	11	7	3	3	2	6	2	7	0	8	3	3	4	14	4	67	91	75	84	82	55	55	53	69	61	43	44	9	23	6	36	68	0	5	8	28	15	139	65	7	25	26	41	65	34	38	9	72	
